"problemName","problemType","numCustomers","UAVspeed","UAVendurance","numTrucks","numUAVs","solverType","heuristicSwitch","timeLimit","initialHeuristicSoln","isOptimal","objVal","numTruckCust","numUAVcust","runTime"
"20140813T111640","small",10,NA,30,3,6,"DFJ",NA,1800,NA,1,85.8613,9,1,10.246
"20140813T111640","small",10,NA,30,3,6,"BNP",0,1800,94.9573,1,85.8613,9,2,0.484
"20140813T111640","small",10,NA,30,3,6,"BNP",1,1800,94.9573,0,85.8613,9,2,0.004
"20140813T111642","small",10,NA,30,1,2,"DFJ",NA,1800,NA,1,163.383,10,0,0.042
"20140813T111642","small",10,NA,30,1,2,"BNP",0,1800,163.863,1,163.383,10,0,0.424
"20140813T111642","small",10,NA,30,1,2,"BNP",1,1800,163.863,0,163.383,10,0,0.005
"20140813T111642","small",10,NA,30,1,4,"DFJ",NA,1800,NA,1,163.383,10,0,0.017
"20140813T111642","small",10,NA,30,1,4,"BNP",0,1800,163.863,1,163.383,10,0,0.434
"20140813T111642","small",10,NA,30,1,4,"BNP",1,1800,163.863,0,163.383,10,0,0.004
"20140813T111642","small",10,NA,30,1,6,"DFJ",NA,1800,NA,1,163.383,10,0,0.031
"20140813T111642","small",10,NA,30,1,6,"BNP",0,1800,163.863,1,163.383,10,0,0.401
"20140813T111642","small",10,NA,30,1,6,"BNP",1,1800,163.863,0,163.383,10,0,0.005
"20140813T111642","small",10,NA,30,2,2,"DFJ",NA,1800,NA,1,121.772,9,1,2.104
"20140813T111642","small",10,NA,30,2,2,"BNP",0,1800,123.052,1,121.772,9,1,0.348
"20140813T111642","small",10,NA,30,2,2,"BNP",1,1800,123.052,0,121.772,9,1,0.007
"20140813T111642","small",10,NA,30,2,4,"DFJ",NA,1800,NA,1,121.772,10,0,2.135
"20140813T111642","small",10,NA,30,2,4,"BNP",0,1800,123.052,1,121.772,9,1,0.439
"20140813T111642","small",10,NA,30,2,4,"BNP",1,1800,123.052,0,121.772,9,1,0.033
"20140813T111642","small",10,NA,30,2,6,"DFJ",NA,1800,NA,1,121.772,10,0,5.637
"20140813T111642","small",10,NA,30,2,6,"BNP",0,1800,123.052,1,121.772,10,0,0.599
"20140813T111642","small",10,NA,30,2,6,"BNP",1,1800,123.052,0,123.052,9,1,0.004
"20140813T111642","small",10,NA,30,3,2,"DFJ",NA,1800,NA,1,116.012,9,1,13.946
"20140813T111642","small",10,NA,30,3,2,"BNP",0,1800,123.052,1,116.012,9,1,0.413
"20140813T111642","small",10,NA,30,3,2,"BNP",1,1800,123.052,0,116.012,9,1,0.005
"20140813T111642","small",10,NA,30,3,4,"DFJ",NA,1800,NA,1,116.012,10,0,36.623
"20140813T111642","small",10,NA,30,3,4,"BNP",0,1800,123.052,1,116.012,9,1,0.605
"20140813T111642","small",10,NA,30,3,4,"BNP",1,1800,123.052,0,116.012,9,1,0.005
"20140813T111642","small",10,NA,30,3,6,"DFJ",NA,1800,NA,1,116.012,9,1,26.235
"20140813T111642","small",10,NA,30,3,6,"BNP",0,1800,123.052,1,116.012,9,1,0.312
"20140813T111642","small",10,NA,30,3,6,"BNP",1,1800,123.052,0,116.012,9,1,0.005
"20140813T111651","small",10,NA,30,1,2,"DFJ",NA,1800,NA,1,220.65,9,1,0.02
"20140813T111651","small",10,NA,30,1,2,"BNP",0,1800,222.997,1,220.65,10,1,0.602
"20140813T111651","small",10,NA,30,1,2,"BNP",1,1800,222.997,0,220.65,10,1,0.004
"20140813T111651","small",10,NA,30,1,4,"DFJ",NA,1800,NA,1,220.65,10,0,0.018
"20140813T111651","small",10,NA,30,1,4,"BNP",0,1800,222.997,1,220.65,10,0,0.197
"20140813T111651","small",10,NA,30,1,4,"BNP",1,1800,222.997,0,220.65,10,0,0.004
"20140813T111651","small",10,NA,30,1,6,"DFJ",NA,1800,NA,1,220.65,9,1,0.014
"20140813T111651","small",10,NA,30,1,6,"BNP",0,1800,222.997,1,220.65,9,1,1.286
"20140813T111651","small",10,NA,30,1,6,"BNP",1,1800,222.997,0,220.65,9,1,0.005
"20140813T111651","small",10,NA,30,2,2,"DFJ",NA,1800,NA,1,152.269,10,0,1.681
"20140813T111651","small",10,NA,30,2,2,"BNP",0,1800,152.269,1,152.269,9,1,0.136
"20140813T111651","small",10,NA,30,2,2,"BNP",1,1800,152.269,0,152.269,9,1,0.003
"20140813T111651","small",10,NA,30,2,4,"DFJ",NA,1800,NA,1,152.269,9,1,2.676
"20140813T111651","small",10,NA,30,2,4,"BNP",0,1800,152.269,1,152.269,9,1,0.129
"20140813T111651","small",10,NA,30,2,4,"BNP",1,1800,152.269,0,152.269,9,1,0.003
"20140813T111651","small",10,NA,30,2,6,"DFJ",NA,1800,NA,1,152.269,10,0,2.056
"20140813T111651","small",10,NA,30,2,6,"BNP",0,1800,152.269,1,152.269,9,1,0.147
"20140813T111651","small",10,NA,30,2,6,"BNP",1,1800,152.269,0,152.269,9,1,0.003
"20140813T111651","small",10,NA,30,3,2,"DFJ",NA,1800,NA,1,152.269,10,0,20.862
"20140813T111651","small",10,NA,30,3,2,"BNP",0,1800,152.269,1,152.269,8,2,0.142
"20140813T111651","small",10,NA,30,3,2,"BNP",1,1800,152.269,0,152.269,8,2,0.002
"20140813T111651","small",10,NA,30,3,4,"DFJ",NA,1800,NA,1,152.269,10,0,5.181
"20140813T111651","small",10,NA,30,3,4,"BNP",0,1800,152.269,1,152.269,8,2,0.134
"20140813T111651","small",10,NA,30,3,4,"BNP",1,1800,152.269,0,152.269,8,2,0.002
